step,reward,reward_std,kl,entropy,mean_length,max_length,clipped_ratio,grad_norm,loss,step_time
255,0.7647,0.03533,0.1273,0.3576,282.2,394,0,0.06226,0.01273,98.44
256,0.768,0.04731,0.129,0.336,257.9,321,0,0.1006,0.0129,81.11
257,0.7823,0.04425,0.1419,0.3202,256.1,374,0,0.07324,0.01419,91.69
258,0.7855,0.05691,0.1264,0.3606,269.2,366,0,0.0708,0.01264,93.85
259,0.7861,0.04578,0.141,0.3065,237.9,263,0,0.07812,0.0141,70.17
260,0.7937,0.04587,0.1215,0.3173,285.8,444,0,0.07178,0.01215,109
261,0.7839,0.04064,0.1133,0.3585,265.7,333,0,0.06348,0.01133,82.07
262,0.7814,0.04862,0.1188,0.3138,251.8,320,0,0.09033,0.01188,83.1
263,0.7849,0.04999,0.1412,0.3309,235.1,287,0,0.08398,0.01412,73.17
264,0.7904,0.0483,0.1195,0.3402,262.3,291,0,0.07373,0.01195,77.68
265,0.7782,0.03643,0.1331,0.316,258.1,360,0,0.0752,0.01331,90.59
266,0.761,0.04481,0.126,0.3579,263.4,345,0,0.06982,0.0126,88.77
267,0.7865,0.05126,0.1236,0.3072,270.2,413,0,0.07568,0.01236,99.41
268,0.7665,0.04861,0.1258,0.4043,278.5,430,0,0.1045,0.01258,108.2
269,0.793,0.03921,0.1466,0.2909,247.1,296,0,0.07422,0.01466,75.07
270,0.7725,0.05081,0.1243,0.3466,252.4,364,0,0.07031,0.01243,90.75
271,0.8048,0.04633,0.1261,0.3108,248.5,282,0,0.07373,0.01261,71.16
272,0.7879,0.03568,0.1142,0.414,296.2,427,0,0.06982,0.01142,101.9
273,0.7782,0.04169,0.1253,0.3349,263.4,346,0,0.07129,0.01253,85.71
274,0.7591,0.04422,0.1234,0.3928,258.9,383,0,0.06543,0.01234,96.09
275,0.7834,0.03095,0.1335,0.3534,261.5,384,0,0.07129,0.01335,97.75
276,0.7853,0.04994,0.1275,0.3438,269.8,359,0,0.07861,0.01275,90.89
277,0.7843,0.03531,0.1128,0.3818,280.6,414,0,0.07178,0.01128,104.2
278,0.7655,0.03367,0.1318,0.386,262.1,371,0,0.06299,0.01318,90.49
279,0.73,0.03535,0.09251,0.3625,280,424,0,0.0603,0.00925,102
280,0.7406,0.04115,0.09582,0.3331,260,316,0,0.06543,0.009581,80.5
281,0.7593,0.04472,0.09288,0.3555,268.4,405,0,0.06934,0.009288,98.9
282,0.7681,0.03827,0.1249,0.3573,250,299,0,0.06934,0.01249,78.69
283,0.7807,0.05706,0.1288,0.3528,259.7,342,0,0.07861,0.01288,89.47
284,0.7846,0.03495,0.1153,0.3259,274.5,666,0,0.06226,0.01153,155
285,0.7683,0.03684,0.1279,0.347,269.2,375,0,0.07129,0.01279,93.53
286,0.7855,0.04194,0.1223,0.3894,257.7,396,0,0.0708,0.01224,101.3
287,0.767,0.0433,0.1292,0.3843,258.6,303,0,0.06592,0.01292,77.36
288,0.796,0.03088,0.1259,0.389,277.6,447,0,0.07666,0.01259,111.8
289,0.7483,0.05063,0.09344,0.5111,311.6,413,0,0.06055,0.009344,102.6
290,0.7464,0.05516,0.1285,0.4135,287.4,399,0,0.06152,0.01285,98.12
291,0.7928,0.04081,0.1348,0.3434,262.1,320,0,0.06543,0.01348,78.65
292,0.7636,0.04378,0.1225,0.381,268.8,413,0,0.06982,0.01225,104.7
293,0.7709,0.0438,0.1467,0.3851,281.2,323,0,0.06055,0.01467,84.33
294,0.7749,0.05766,0.1256,0.427,266.9,285,0,0.07178,0.01256,73.12
295,0.776,0.03665,0.1233,0.3929,276.8,371,0,0.06787,0.01234,91.62
296,0.7637,0.05319,0.129,0.4233,281.4,362,0,0.06543,0.0129,90.01
297,0.7968,0.04473,0.1222,0.4487,298.2,511,0,0.07861,0.01222,122
298,0.7782,0.0435,0.1261,0.485,291.2,461,0,0.06348,0.01261,113.9
299,0.7468,0.04838,0.1265,0.4744,283.8,418,0,0.06885,0.01265,103.1
300,0.7906,0.04802,0.1296,0.4869,287.7,449,0,0.06836,0.01296,111.3
301,0.7672,0.04014,0.1117,0.4881,276.5,324,0,0.07422,0.01117,84.31
302,0.774,0.03742,0.1262,0.4655,290,506,0,0.07178,0.01262,121
303,0.7895,0.04121,0.1259,0.3872,276.3,397,0,0.06689,0.01259,101.2
304,0.798,0.0503,0.1366,0.4434,276.7,359,0,0.0625,0.01366,90.84
305,0.7894,0.03374,0.1137,0.4547,308.9,407,0,0.07324,0.01137,100.6
306,0.7921,0.03909,0.1349,0.4171,286.1,374,0,0.06177,0.01349,93.96
307,0.7665,0.04793,0.112,0.4911,309.9,474,0,0.06299,0.0112,118.8
308,0.7945,0.04135,0.1209,0.4948,283.5,348,0,0.06689,0.01209,87.95
309,0.7922,0.0417,0.1112,0.4939,297.3,528,0,0.07031,0.01112,127.2
310,0.7928,0.04078,0.1286,0.4683,278.6,375,0,0.07471,0.01286,95.99
