step,reward,reward_std,kl,entropy,grad_norm,loss,learning_rate,completion_length,clip_high,clip_low,step_time,epoch
232,0.7689,0.04444,0.04444,0.3377,0.06177,0.004445,4.964e-05,309.1,0,0,109.8,1.036
233,0.7328,0.03975,0.05907,0.3851,0.07129,0.005908,4.928e-05,307.7,0,0,95.53,1.04
234,0.7474,0.04008,0.05642,0.3722,0.05737,0.005642,4.891e-05,317.8,0,0,97.43,1.044
235,0.7582,0.03819,0.06232,0.3418,0.07422,0.006232,4.855e-05,303.2,0,0,98.93,1.049
236,0.7528,0.03225,0.06188,0.3745,0.05884,0.006186,4.819e-05,286.1,0,0,94.88,1.053
237,0.7559,0.04385,0.05668,0.3746,0.05737,0.005666,4.783e-05,268.2,0,0,103.1,1.058
238,0.7485,0.04628,0.0482,0.3442,0.06787,0.00482,4.747e-05,305.3,0,0,96.9,1.062
239,0.743,0.04816,0.05273,0.369,0.06201,0.005273,4.711e-05,311.3,0,0,100.9,1.067
240,0.7335,0.04511,0.05561,0.3709,0.06079,0.005562,4.674e-05,287.2,0,0,90.65,1.071
241,0.7439,0.04306,0.04846,0.3314,0.07764,0.004846,4.638e-05,313.3,0,0,92.5,1.076
242,0.7164,0.03967,0.0611,0.3762,0.07129,0.006111,4.602e-05,291.8,0,0,105.3,1.08
243,0.744,0.05211,0.03607,0.506,0.05176,0.003607,4.566e-05,361.5,0,0,126.2,1.084
244,0.7375,0.0541,0.05047,0.4289,0.05786,0.005047,4.53e-05,329.6,0,0,99.72,1.089
245,0.733,0.0498,0.06022,0.3781,0.05347,0.006022,4.494e-05,340,0,0,118.8,1.093
246,0.7582,0.04791,0.04535,0.3535,0.07129,0.004534,4.458e-05,314.2,0,0,117.2,1.098
