step,epoch,reward,reward_std,loss,kl,entropy,learning_rate,step_time_s
301,1.3380,0.7613,0.04351,0.01044,0.1044,0.5099,6.113e-05,116.6
302,1.3420,0.7651,0.04636,0.009681,0.09681,0.4521,6.089e-05,105.7
303,1.3470,0.8070,0.01919,0.01057,0.1057,0.4005,6.066e-05,110.6
304,1.3510,0.7947,0.02753,0.01228,0.1228,0.4259,6.042e-05,99.8
305,1.3560,0.7886,0.03257,0.009743,0.09743,0.4280,6.018e-05,110.9
306,1.3600,0.8047,0.02412,0.009478,0.09478,0.4049,5.995e-05,110.2
307,1.3640,0.7658,0.05882,0.008506,0.08507,0.4527,5.971e-05,123.3
308,1.3690,0.7621,0.06144,0.01034,0.1034,0.3960,5.947e-05,112.1
309,1.3730,0.7738,0.03868,0.01196,0.1196,0.4649,5.924e-05,105.1
310,1.3780,0.7674,0.05733,0.009804,0.09803,0.4716,5.9e-05,92.8
311,1.3820,0.7766,0.05004,0.008874,0.08874,0.3672,5.876e-05,104.2
312,1.3870,0.7836,0.03463,0.01104,0.1104,0.4299,5.852e-05,115.7
313,1.3910,0.7824,0.04889,0.009128,0.09128,0.4450,5.829e-05,103.1
314,1.3960,0.7802,0.04936,0.01094,0.1094,0.4108,5.805e-05,97.1
315,1.4000,0.8049,0.03723,0.008938,0.08939,0.4306,5.781e-05,117.1
316,1.4040,0.7517,0.04633,0.009572,0.09572,0.4222,5.757e-05,112.3
317,1.4090,0.7896,0.03104,0.00964,0.09639,0.3347,5.733e-05,99.4
318,1.4130,0.7774,0.03733,0.008554,0.08555,0.3632,5.709e-05,106.9
319,1.4180,0.7655,0.04449,0.01065,0.1065,0.4385,5.686e-05,105.6
320,1.4220,0.7744,0.04883,0.008479,0.08478,0.4200,5.662e-05,106.5
321,1.4270,0.7877,0.04943,0.008992,0.08993,0.3856,5.638e-05,106.5
